id,request_time,bus_income,left_db_border,right_db_border,timeout
168,"2020-02-16 00:55:05.796390",,,,40
169,"2020-02-16 00:55:53.824674",,,,70
170,"2020-02-16 00:57:11.940598",,,,100
171,"2020-02-16 00:59:00.242076",,,,130
172,"2020-02-16 01:01:19.061672",01:29:06,01:27:00,01:57:00,833
173,"2020-02-16 01:15:23.160741",01:28:52,01:27:00,01:57:00,404
174,"2020-02-16 01:22:16.780608",01:27:15,01:27:00,01:57:00,149
175,"2020-02-16 01:24:55.377882",01:27:52,01:27:00,01:57:00,88
176,"2020-02-16 01:26:33.829465",01:28:07,01:27:00,01:57:00,47
177,"2020-02-16 01:27:31.704639",01:28:12,01:27:00,01:57:00,20
178,"2020-02-16 01:28:00.771625",01:28:02,01:27:00,01:57:00,10
179,"2020-02-16 01:28:18.742336",01:28:02,01:27:00,01:57:00,10
180,"2020-02-16 01:28:36.898058",01:54:19,01:27:00,01:57:00,771
181,"2020-02-16 01:41:35.480069",01:55:51,01:27:00,01:57:00,428
182,"2020-02-16 01:48:53.563663",01:56:18,01:27:00,01:57:00,222
183,"2020-02-16 01:52:46.709744",01:56:25,01:27:00,01:57:00,109
184,"2020-02-16 01:54:44.704766",01:56:02,01:27:00,01:57:00,39
185,"2020-02-16 01:55:32.712177",01:56:07,01:27:00,01:57:00,17
186,"2020-02-16 01:56:00.374168",01:56:05,01:27:00,01:57:00,10
187,"2020-02-16 01:56:18.220671",01:56:06,01:27:00,01:57:00,10
188,"2020-02-16 01:56:36.047094",01:56:06,01:27:00,01:57:00,10
189,"2020-02-16 01:56:54.193655",,,,40
190,"2020-02-16 01:57:41.758665",,,,70
191,"2020-02-16 01:58:59.631647",,,,100
192,"2020-02-16 02:00:47.782480",,,,130
193,"2020-02-16 02:03:05.597470",,,,160
194,"2020-02-16 02:05:53.465053",,,,190
195,"2020-02-16 02:09:11.362417",,,,220
196,"2020-02-16 02:12:59.039451",,,,250
197,"2020-02-16 02:17:17.080132",,,,280
198,"2020-02-16 02:22:04.856686",,,,310
199,"2020-02-16 02:27:22.995272",,,,340
200,"2020-02-16 02:33:11.033373",,,,370
